00-00	TUCHODA TITAJU NIJYANVAJYU VURYATIDYE VICHASARA SAMIRYA VARIY
00-01	VUTYUVACHU RAMU JIRYA: rirvatidye vichasara nijyanvay jmurvasavay, samivye jarye, jiryatiy runuchara nutityumiy samiy rinecho, vurvama datya itjau jiryatiy vurvupedamusiy vuvyta rirvatidye jnuy tjau nijynvay samiy vunecho;
00-02	VUTYUVACHU RAMU JIRYANTIY: riryavatyda tavaryi nijyanvay jasicharjau riryantadeda variryi. Ridyetyisadamu yavatyadariy nijyanvay, rirvavirvutyada varirya nijyanvay vichada. Ramunjtiy vutyuchura jiryatiy nijyanvay vatasara jaryirya: nvyichary samiryamu, ne nrvasuvuy tara, darvantyamuy jantyuyadavay. Riniquery ntyuvachuruy variy jivyatadamusiy;
00-03	VUTYUVACHU RAMUNTIY: jiryatiy nijyanvay jantyuyadavay vata jnutityumura jmutyada riryimya javatya tavay nijyanvantyirvi, rinuma murchenrrva yavatyasada mudodta. Ramunitiy rivyatara nutitymiy jmutyada, ribey liita jiniquejada variy;
00-04	VUTYUVACHU RAMUNTIY: jiryatiy raniy sitenu vatasara datyadoda jarvedo nijyanvay nutyaramusitya vuryivichasara samirya vutyunu vichavatya;
00-05	VUTYUVACHU RAMUNTIY: jiryatiy ntyuchuma raju mucadi jnutyavay caterava nutyi ntyuvachu ramu samirya vichasada vatujyu, vadujyuntiy. Rivyanutyanirvuryi nijyanvay rirvatidye vicha samirva mutijyu, rjadutya varirya rivyichada, rirya datyara jivyichada, ne n'rvecha ti cumudeminuday;
00-06	VUTYUVACHU RAMUNTIY: jiatiy vurvjaantya nryatidye tuvachu tjau nijyanvay ramu jirva niquejada samirva vichadaju;
00-07	VUTYUVACHU RAMUNTIY: jirvatiy rtiy jto darva, tiUau nijyanvay rarvidatyarurva jirva tuchoda;
00-08	RAMUNi VURYATUVACHU DIYERA MUCADi JNUTYAVAY TUCHODA JIRYA TUCHODA RACHA TITAJU NIJYANVAJYU rirvatidye tuvachu variy ramu. Raniy raryivicha datyanusara titJau catera nuJyomu.
01-00	TUCHUSARA 1.
01-01	Ne sarupay nijyami cumudeju darvantyamuy javatyasjiu. Jachipiyadati mirvara samirva, mirvamuy ne samirva. Ramunltiy sarivichanichara samirvariy jityunu vichavay.
02-00	TUCHUSARA 2.
02-01	Darva rirvivichasara tjtJau nijyanvay danuma rirvecha mamyi varimyata mununumiy, danuma rirvecha vadacumiy varimyata pupasimyi, danuma nrvecha vaduy varimyata vatuy, danuma rianiquera jiniquejada, danuma nrvatuvachu Judenumu varimyatamuy, danuma nrvJaachipiya midamyuju varimyata jntityudamyuju danuma nrvecha j arvedo, darvanuma rirvavichasara jischavu ttjau nijyanvay.
02-02	Darva riryivichasara ttjau nijyanvay danuma rirvecha taj i mucadimusivye.
03-00	TUCHUSARA 3.
03-01	Rirvama pary ttjau ruva nijyanvay rnuJeyjaadaju, rirvatidye vichasara jmuasavantyi, ne ti rJaarupantasara varinudarvi.
04-00	TUCHUSARA 4.
04-01	Ne ti raryivicha muchechimyijyu jpanuyasavajyu. Jubachara darva, darva vichadeda tnijyu.
05-00	TUCHUSARA 5.
05-01	Ne ti rarvivichasara javatyadajus niniy jita rivyichadeda nutyi javada rirvavatyada varini.
06-00	TUCHUSARA 6.
06-01	Titaju nijyanvay rarvivichasara tuchutada tnijyu cannadumu.
07-00	TUCHUSARA 7.
07-01	Titaju nijyanvay rarvivichasara jischavu cannadumu danuma savicha chira, satidye jdutya cannadura rirvavatyasada.
08-00	TUCHUSARA 8.
08-01	Titaju nijyanvay rarvijtisara datyasavay cannadumu, satidye vichaniy vasejura rityuchutada nutyara nitiy ranique ricyatera nucharamu.
09-00	TUCHUSARA 9.
