00-00	dbshr d hqwqw nrywalh a'lamyh
00-01	tsrngh tche dbshry kwrnye dtwlw ghrw thaty hethyt pythzndnh aw dhghwy pr rng aw antqal nh mnwnky hqwq ph nrye kkhe d azadye , 'dalt aw swle asas tshkylwy,
00-02	lkh tsngh tche d bshry hqwq thqyr aw d hghw nh pyjndnh ph whshyanh 'mlwnw mnjr shwy tche d bshryt rwh ph gnah mjbwrwy aw dhghe nrye zhwr yy tche ph hghe kkhe bshr ph byan aw 'qydh kkhe azad awr lh wyre aw fqr tskhh fargh wy, d bshr dlwrw amalw tr srlyk landy a'lan kry dy.
00-03	lh hghh zayh tche asasan bayd d bshry hqwqw d qanwn ph ajra kwlw srh hmayt wshy, tche bshr d wrwste 'laj ph nwm d zlm aw fshar pr dd ph qyam mjbwr nh shy,
00-04	lh hghh zayh tche asasan lazm dy tche d mltwnw tr mnz w dwstanh arykw prakhtya bayd tshwyq shy,
00-05	lh hghh zayh tche d mlgrw mltwnw khlkw d bshr bnsty hqwqw, dansany frd dmqam aw arzst aw d narynh ww aw khzw d hqwqw d tsawy ph hklh yw zl bya ph mnshwr kkhe khpl bawr a'lan kry aw tyngh prykrh ye kry tche lh twlnyz pr mkhtg srh mrsth w kry aw ph yw azad tchapyryal kkhe d khh jwndanh wd' aw halat ra mnz th kry,
00-06	lh hghh zayh tche ghry hywadwnh srh mt'hd shwy tche d mlgrw mltwnh ph hmkary srh nrewal ahtram, dbshry hqwqw awbnstw d azadyw waq'y r'ayt tamyn kry,
00-07	lh hghh zayh tche d dghw hqwqw aw azdyw ph nsbt gd mfahmt d dghh t'hd d mkml ajra lh parh khas ahmyt lry,
00-08	'mwmy mjm', dbshry hqwq dghh nry walh a'lamyh d twlw khlkw aw hywadwnw d gd arman ph twgh a'lanwy tr tsw twl khlk aw twlnyz arkan dghh a'lamyh tl ph nzr kkhe wlry aw hghh dy wkry tche d khwwny aw rwzne ph wsylh, d dghw hqwqw aw azadyw ahtram prakhtya wmwmy awya mly aw byn almlly tdryjy tdabyr, dhghwy hmaty aw waq'y ajra aw pyjndnh kh d ghrw hywadwnw ph mnz kkhe wy aw ya d hghw hywadw d khlkw ph mnz kkhe tche d hghwy ph qlmrw kkhe wy, tamyn shy.
01-00	lwmrye madh:
01-01	d bshr twl afrad azad nrye th razy aw d hythyt aw d hqwqw lh plwh srh brabr dy. twl d 'ql aw wjdan khawndan dy aw bayd yw lh bl srh d wrwrye ph rwhyh srh tchlnnd kry.
02-00	dwhmh madh:
02-01	hr tswk kwlye shy, prth lh hr dwl tb'yd tskhh ph tyrh bya d njad, rng, jns, jbh, mthhb, syasy 'qyde aw ya hrh blh 'qydh tche wy. aw hm da rngh d qwm, twlnyze wd'e, (???), zygydnh aw ya hr bl mwq'yt tche wy, d twlw hghw hqwqw aw azadyw tskhh tche ph dghh a'lamyh kkhe thkr shwy dy , gth wakhly.
02-02	sr byrh pr de hyts dwl tb'yd ramnz th nh shy tche d yw hywad pr syasy adare, qdayy aw ya byn almlly wd'y myny wy, kh tsh hm dghh hywad mstqbl tr las landy aw ya ghyr khwd mkhtar wy, d hghh hakmyt ph yw dwl srh mhdwd shwy dy.
03-00	drymh madh:
03-01	hr tswk d jwnd, azade aw shkhsy amnyt hq lry.
04-00	tslwrmh madh:
04-01	hyts tswk nh shy kwlye tche tswk ph ghlamye kkhe wsaty. aw d ghlamanw ra krh wr krh ph hr dwl tche wy mmnw' dh.
05-00	pynzmh madh:
05-01	hyts tswk nh shy kwlye tche tswk tr shknjy, mjazat aw ya dasy tchal tchln lande tche zalmanh, dansanyt aw d bshry shtwanw pr dd aw twhyn amyz wy, wsaty.
06-00	spgmh madh:
06-01	hr tswk hq lry tche dhghh hqwqy shkhsyt ph hr zay kkhe d qanwn ph wrande d yw ansan ph nwm wpyjndl shy.
07-00	awwmh madh:
07-01	twl khlk dqanwn ph wrande srh brabr dy aw hq lry tche lh tb'yd lh prth ph msawy twgh d qanwn lh hmayt tskhh br khmn shy . twl hq lry tche d hr dwl tb'yd ph wrande tche d dghy a'lame naqd wy aw d hr dwl thryk ph wrande tche ddghh dwl tb'yd dparh ramnz th shy ph msawy twgh d qanwn lh hmayt tsh brkhmn shy.
08-00	atmh madh:
08-01	dhghw 'mlwnw ph wrande tche d hr frd pr bnstyzw hqwqw tjawz wkry aw hghh hqwq d asasy qanwn aw ya bl kwm qanwn ph wsylh d hghh d parh pyjndl shwy wy, hr tswk salhw mly mhkmw th d rjw' kwlw hq lry.
09-00	nhmh madh:
09-01	hyts tswk bayd ph khpl sr twqyf, hbs aw ya tb'yd nh shy.
10-00	lsmh madh:
10-01	hr tswk ph bshr tsawy srh hq lry tche d hghh d'wh d ywe mstqle aw be trfe mhkmy ph wasth ph mnsfanh aw 'lnye twgh srh arzyaby shy aw dghh yw mhkmh kwlye shy d hqwq, alzamwnw aw ya bl hr jzayy atham ph bab tche shkhs th mtwjh shwy dy, prykrh wkry.
11-00	ywwlsmh madh:
11-00	hr tswk tche ph ywm jrm mthm shwye wy, be gnah shmyrl kygy, tr tsw pwre tche d 'mwmy d'wh ph jryan kkhe tche ph kkhe d hghh d dfa' lh parh twl dmantwnh tamyn shwy wy, dhghh gnah ph qanwny twgh thabt shy.
11-01	hyts tswk bh dhghh 'ml d tr srh kwlw ph khatr tche nw mwry 'ml d artkab ph wkht kkhe d mly aw ya byn almlly hqwqw ph mwjh jrm w nh pyjndl shy, mhkwm nh shy. ph hm de twgh lh hghh sza tskhh tche d jrm dartkab ph wkht kkhe wrsrh arh pyda kwy, shdyd sza bh tcha th nh wrkwlye kygy.
12-00	dwlsmh madh:
12-01	hyts tswk ph khpl shkhsy jwnd, kwrnyw tcharw, d awsydw zay aw ya khplw lykwnw kkhe nh khayy tche d ph khpl sr mdakhltwnw hdf waq' shy aw nh zayy tche shraft, nwm aw wqar ye d t'rd landy waq' shy. hr tswk hq lry tche d de dwl mdakhltwnw aw hylw pr dd d qanwn tr satny landy waq' shy.
13-00	dyarlsmh madh:
13-00	hr tswk hq lry tche d hr hywad ph dnnh kkhe ph azad dwl tg ratg wkry aw khpl d awsydw zay ghwrh kry.
13-01	hr tswk hq lry d khpl hywad ph shmwl hr hywad prygdy aw ya khpl hywad th byrth wgrzy.
14-00	tswarlsmh madh:
14-00	hr tswk hq lry d t'qyb shknjw aw azar ph dd d pnah gah ph lth kkhe shy aw yw bl hywad th pnah ywsy.
14-01	ph hghw halatw kkhe tche t'qyb ph 'mwmy aw ghyr syasy jrm aw ya d mlgrw mltwnw d mqasd aw aswlw pr mkhalf tchal tchln mbny wy, lh dghh hq tskhh gth nh shw akhystye.
15-00	pnzlsmh madh:
15-00	hr tswk hq lry tche d tab'yt drlwdwnky wy.
15-01	hyts tswk d khpl tab'yt aw ya d tab'yt d tghyyr lh hq tskhh ph sr mhrwm kwlye nh shy.
16-00	shparlsmh madh:
16-00	hr balgh nr aw khzh hq lry lh hr dwl njady, qwmy, tab'yty ya mthhby mhdwdyt tskhh prth yw lh bl srh wadh wkry aw khplh kwrnye jwrh kry. d azdwajy jwnd ph twlh mwdh aw d hghh d anhlal ph wkht kkhe khzh aw myrh d wadh ph arwndw tcharw kkhe d msawy hqwqw lrwnky dy.
16-01	wadh bayd d khzy aw nr ph mkml rdayt srh ph azadanh twgh tr srh shy.
16-02	kwrnye d twlne tb'y aw asasy rkn dye aw hq lry tche d twl aw dwlt lh hmayt tskhh gth wakhly.
17-00	awwh lsmh madh:
17-00	hr shkhs ph anfrady aw ya ph twlnyzh twgh d malkyt hq lry.
17-01	hyts tswk d malkyt lh hq tskhh mhrwm kwlye nh shy.
18-00	atlsmh madh:
18-01	hr tswk hq lry d fkr, wjdan aw mthhb lh azadye tskhh gth wakhly: da hq d mthhb ya 'qyde d tghyyr aw hm da rngh d ayman aw 'qyde d azhar damn dy aw hm pr mthhby t'lymatw aw dyny mrasmw ph trsrh kwlw shaml dy. hr tswk kwly shy lh dghh hq tskhh ph anfrady aw ya twlnyzh twgh ph khswsy aw ya 'mwmy dwl gth wakhly.
19-00	nwlsmh madh:
19-01	hr tswk d 'qyde aw byan d azadye hq lry aw dghh hq hghh tsh ph yrh kkhy nysy tche bayd d khplw 'qydw d azhar tskhh dy tswk tshwysh aw adtrab wnh lry aw d atla'atw aw afkar ph trlash kwlw aw twlw mmknh wsaylw th d hghw ph antshar kkhe d srhdy mlahzatw tskhh prth de azad wawsy.
20-00	shlmh madh:
20-00	hr tswk hq lry tche ph azadanh twgh srh d msalmt amyzh dly aw jm'ytwnh jwr kry.
20-01	hyts tswk ph ajtma' kkhe ph gdwn kwlw mjbwrwlye nh shy.
21-00	ywwyshtmh madh:
21-00	hr tswk hq lry tche dkhpl hywad d 'mwmy tcharw ph adarh kkhe ph mstqymh twgh aw ya dhghw astazw ph wsatt srh tche azadanh ghwrh shwy dy, brkhh wakhly.
21-01	hr tswk hq lry ph msawy shraytw srh dkhpl hywad 'mwmy 'hdw th wrsygy.
