00-00	ali'lan al'almy lhqwq alinsan
00-01	lma kan ala'traf balkrama almtasla fy jmy' a'da' alasra albshrya wbhqwqhm almtsawya althabta hw asas alhrya wal'dl walslam fy al'alm.
00-02	wlma kan tnasy hqwq alinsan wazdrawha qd afdya ila a'mal hmjya atht aldmyr alinsany. wkan ghaya ma yrnw ilyh 'ama albshr anbthaq 'alm ytmt' fyh alfrd bhrya alqwl wal'qyda wythrr mn alfz' walfaqa.
00-03	wlma kan mn aldrwry an ytwla alqanwn hmaya hqwq alinsan lkyla ydtr almr' akhr alamr ila altmrd 'la alastbdad walzlm.
00-04	wlma kant sh'wb alamm almthda qd akdt fy almythaq mn jdyd iymanha bhqwq alinsan alasasya wbkrama alfrd wqdrh wbma llrjal walnsa' mn hqwq mtsawya whzmt amrha 'la an tdf' balrqy alajtma'y qdma wan trf' mstwa alhyaa fy jw mn alhrya afsh.
00-05	wlma kant aldwl ala'da' qd t'hdt balt'awn m' alamm almthda 'la dman itrad mra'aa hqwq alinsan walhryat alasasya wahtramha.
00-06	wlma kan llidrak al'am lhthh alhqwq walhryat alahmya alkbra llwfa' altam bhtha alt'hd.
00-07	fin aljm'ya al'ama
00-08	tnady bhtha ali'lan al'almy lhqwq alinsan
00-09	'la anh almstwa almshtrk althy ynbghy an tsthdfh kafa alsh'wb walamm hta ys'a kl frd whyyea fy almjtm', wad'yn 'la aldwam htha ali'lan nsb a'ynhm, ila twtyd ahtram hthh alhqwq walhryat 'n tryq alt'lym waltrbya watkhath ijra'at mtrda, qwmya w'almya, ldman ali'traf bha wmra'atha bswra 'almya f'ala byn aldwl ala'da' thatha wsh'wb albqa' alkhad'a lsltanha.
01-00	almada 1
01-01	ywld jmy' alnas ahrara mtsawyn fy alkrama walhqwq. wqd whbwa 'qlan wdmyra w'lyhm an y'aml b'dhm b'da brwh alikha'.
02-00	almada 2
02-01	lkl insan hq altmt' bkafa alhqwq walhryat alwarda fy htha ali'lan, dwn ay tmyyz, kaltmyyz bsbb al'nsr aw allwn aw aljns aw allgha aw aldyn aw alray alsyasy aw ay ray akhr, aw alasl alwtny aw alijtma'y aw althrwa aw almylad aw ay wd' akhr, dwn aya tfrqa byn alrjal walnsa'.
02-02	wfdlan 'ma tqdm fln ykwn hnak ay tmyyz asash alwd' alsyasy aw alqanwny aw aldwly lbld aw albq'a alty yntmy ilyha alfrd swa' kan htha albld aw tlk albq'a mstqlan aw tht alwsaya aw ghyr mtmt' balhkm althaty aw kant syadth khad'a lay qyd mn alqywd.
03-00	almada 3
03-01	lkl frd alhq fy alhyaa walhrya wslama shkhsh.
04-00	almada 4
04-01	la yjwz istrqaq aw ist'bad ay shkhs. wyhzr alistrqaq wtjara alrqyq bkafa awda'hma.
05-00	almada 5
05-01	la y'rd ay insan llt'thyb wla ll'qwbat aw alm'amlat alqasya aw alwhshya aw alhata balkrama.
06-00	almada 6
06-01	lkl insan aynma wjd alhq fy an y'trf bshkhsyth alqanwnya.
07-00	almada 7
07-01	kl alnas swasya amam alqanwn wlhm alhq fy altmt' bhmaya mtkafyea 'nh dwn aya tfrqa, kma an lhm jmy'an alhq fy hmaya mtsawya dd ay tmyyz yukhl bhtha ali'lan wdd ay thryd 'la tmyyz khtha.
08-00	almada 8
08-01	lkl shkhs alhq fy an ylja ila almhakm alwtnya linsafh 'n a'mal fyha a'tda' 'la alhqwq alasasya alty ymnhha lh alqanwn.
09-00	almada 9
09-01	la yjwz alqbd 'la ay insan aw hjzh aw nfyh t'sfan.
10-00	almada 10
10-01	lkl insan alhq, 'la qdm almsawaa altama m' alakhryn, fy an tnzr qdyth amam mhkma mstqla nzyha nzran 'adlan 'lnyan llfsl fy hqwqh waltzamath waya thma jnayeya twjh lh.
11-00	almada 11
11-00	kl shkhs mthm bjryma y'tbr bryyean ila an tthbt idanth qanwnan bmhakma 'lnya twmn lh fyha aldmanat aldrwrya lldfa' 'nh.
