00-00	XO MAA NU XIJMOJOI NU KUCHTI KJA'NI
00-01	Nu ro ndejte ka ro jiegi nu foeste i nu jiegi xa'to da nu xijmojoi petsi i fuedi ka ro mui ka metsi nu yu kuchti ra gentho i jingi ne da uni gotho yu mutsi kja'ni;
00-02	Nu ro ndejte jingi paedi i jingi ne'ju nu kuchti kja'ni xo kja kosa jingi zoo pa nu yu kja'ni; i xo maa'mu, i ne'ju ra dte nu kja'ni, bi nka tse xijmojoi i yu kja yu kja'ni, i bi to nu tzu i ni tu'ju bi tze nu ro foeste nu ro na i nu ro foeste i bi tse nu ro mui;
00-03	Nu ro ndejte ra zoo pa nu kuchti yu kja'ni da foechte nu ajte da yu kuchti, pada guani nu zoya jinda maa ra nda tzedi i da bottu yu kja'ni i da maa tzo'ju ko nu manda ajte;
00-04	Nu ro ndejte pa nu da knja i da yete, da ne ju ra zoo ko yu ra xijmojoi;
00-05	Nu ro ndejte nu yo jnini de yu xijmojoi xomaa nu ro je'mi i ne nu yo kuchti de nu nzoya, i ka nzu yu kja'ni i r aguentho nu kuchti de yu nzoya i nu nana; i xo ma'mu xo zoo i ma'mu nu da te i da te a putze nu ro mui pa ka yo kja'ni yo libre;
00-06	Nu ro ndejte nu yo jnini ra muetsi xo ma ma'mu i xo nguajuia, xo nfoechte ku nu mutsi de yu jnini, nu xijmojoi i ne i kuchti i foetsi yu yo nzoya;
00-07	Nu ro ndejte i juadi yu i bini nu ro kuchti i da jiegui'ju gotho i mporta pa nu ankja nu i da tute ka xo maa;
00-08	XO MONTSIJU GOTHO MA'MU NU XO MAA NU XIJMOJOI NU KUCHTI KJA'NI
00-09	I ne'ju gotho yu kni'ni i nu xijmojoi da pa'nu ra'ra, da kuaedi nu kja'ni ko nu ajte, i bini'ju teni, i ma'mu, ko nu ro ujti i nu ro xoempite i nzengua ka kuchti ka, ma'mu, da ma ka ju ra zoo ko yu jnini i gotho nu xijmojoi, nu pudi i ni i kja nu xijmojoi ni a yu jni'ni i buni a muntsi koyu jni'ni i ku nu a ajte.
01-00	N'a nfini (1)
01-01	Gotho nu kja'ni i mui ra zoo i gotho ro kuchti, i tu'ni nu ro na padae bini i da budi, da mui ra zoo koyu gotho yu kja'ni i yo kuadi.
02-00	Yojo nfini (2)
02-01	Gotho yu kja'ni i jka nu ro kuchti da yoedi nu ji maa, jinda yo'ni te'ma kolor, ka ro taxi ora boeti, ro nzoya o ro nana, ankja ga na, kja i ne ro tsi nkja kua jina, kuaro mingu kua, kua jina, kua ja ro domi, kua jina, o abu xo mui ankja.
02-02	I jinda, toni jari niji, ka no politico, kua ro mingu kua, kua ro jiapu, kua ro mingu nu a jnini nua jingui kuti a xijmojoi.
03-00	Jnu nfini (3)
03-01	Gotho nu kja'ni kja kuchti nu ro nzaki, da foedi nu ro kja'ni.
04-00	Goo nfini (4)
04-01	Kotho ra kaki gi pe'fi; ra dra ngu, kotho da xiki jingi ka ganku nugege.
05-00	Kuta nfini (5)
05-01	Kotho da ndampi kotho da xiki te da xiki.
06-00	Ba'to nfini (6)
06-01	Gotho ro kja'ni ka kuchti, gotho yonguaedi, da puedi ro kja'ni.
07-00	Yojto nfini (7)
07-01	Gotho ra gentho nu a nu tzukua, jingi toni ankja, kuchti ra gentho, poedi bu ro tzukua. Gotho i kja kuchti i gentho i fudi ji gotho nu bi jingi ne nu i maa i ji gotho kjapi nu a jinguine.
08-00	Jnato nfini (8)
08-01	Gotho nu kja'ni ja ro kuchti da janda ro fende, nu a yo foedi, xo da foetsi ko yu neda kapi jinda zoo ko ni ro kuchti nu i poedi nu ro ajte.
09-00	Gujto nfini (9)
09-01	Kotho da zoo da mendi da goti'ki, nu a foedi.
10-00	Re'ta nfini (10)
10-01	Gotho nu kja'ni ka ro kuchti, i ra guentho, da ntede i da nu a i foetsi yu yo tu, paeda fuedi to ka, ja ro ranzo ka tsifi, nu a ro foedi.
11-00	Re'ta ma n'a nfini (11)
11-00	Gotho nu kja'ni i tsifi xo ja nda ji ra zoo, jka ro kuchti a da maa gege, ji xo kja, nu ro ajte da foetsi ko nu ro tzukua nu ro foedi xo maa da goeti gotho.
11-01	Kotho da zoo te da ka'ki nu bu te ko Pefi tae dae kati, ko nu tzukua i nu a bunu foedi da kati ku ri kuchti de nu knini i nu xojmojoi. I ningi nkajapu jinda zoo te da kaki, jinse nu foechte nu jinda zoo.
12-00	Re'ta ma yojo (12)
12-01	Kotho da zoo te da xiki nu ri nzaki, i nu ri mi'ni, nu ri ngu nu aki je'mi i xaetho da tsiki nu ri kja'ni. Gotho nu kja'ni ka kuchti i da foetsi nu tzukua bi te da kapi.
13-00	Re'ta ma jnu (13)
13-00	Gotho nu kja'ni ka kuchti a da no ra zoo i da juajni a da mui gotho yu jnini.
13-01	Gotho ni kja'ni ka kuchti a buni de nu ro jni'ni, da goji nu a ro jnini.
14-00	Re'ta ma goo (14)
14-00	Bu i toni te da kapi, gotho nu kja'ni ku ro kuchti paeda jiodi ntidi da mui, i da mui ra zoo, make jingro jnini.
14-01	No kuchti jinda zoo da te da tsiki yu yo politica o te xo bini ju o te ne da xiki.
15-00	Re'ta ma kuta nfini (15)
15-00	Gotho nu kja'ni ka kuchti a da mui na jnini.
