00-00	[missing]
00-01	yatra jagati shaanti-nyaaya-svaatantryaannaam aadhaarah maanav-parivaarasya sarvessaamapi sadasyaanaam saamyaanaam akhanndditaanaanyca adhikaaraannaam, paaramparik-gauravasya caabhijnyaane syaat,yatra maanavaadhikaaraannaam avamaanen anaadarenn ca kaaryaanni durdaantaruupenn parinnamitaani, yaih maanaviiya-cetanaa vikssobhitaa, api ca,saamaanya-janaanaam uccatamaakaamkssaah abhighossitaah syuh, evam hi nuutanavishvaarambhenn, maanavaah abhivyakteh svaatantryamanubhavitum shakssyanti, nirbhayaashca bhavitaarah, yatra caitat anivaaryam yadi shossannaatyaacaaraan virudhya antim-prayaasatven manussyah, prayaasaanusstthaanaartham naiv vivashiikriyate cettadaa, maanavaadhikaaraah vidhi-niyamen samrakssanniiyaah,yatra ca raassttressu parasparam sakhya-sambandhaanaam vikaasajaatam samunnetum paramaavashyakam syaat,yatra maulikessu maanavaadhikaaressu samyukta-raassttra-samghasya janaah ghossannaapatre sviiyaasthaam drddhiikrtavantah, brhattare ca svaatantrye bhadrataram jiivanastaram saamaajik-pragatim ca samunnetum nirnniitam, strii-purussaannaam saamyaadhikaaressu maanav-vyakteh gaurave muulye ca nisstthaa drddhiikrtaa,yatra, sadasyadeshaah maulik-svaatannyyaannaam maanavaadhikaaraannaanyca paripaalanaartham vaishvikaadarasya samunnataye ca, samyukta-raassttra-samghen sambhuuya pratishrutaah syuh,yatra sviiya-pratishrutiinaam paripuurnnataayai etessaam adhikaaraannaamsvaatantryaannaam ca saamaanyaavagamanam mahattamam mahattvaadhaayi ca syaat,tadartham saampratam,mahaasabhaa sarvessaam raassttraannaam sarvessaam ca janaanaam krte saamaanyopalabdhi-star-ruupenn maanavaadhikaaraannaam enaam jaagataabhighossannaam abhighossayati. samaajasya pratyekamapi amgam, pratyekamapi janah, manasi satatam abhighossannaamenaam nidhaaya, etessaam adhikaaraannaamsvaatantryaannaam ca krte sammaanam samunnetum shikssaadhyaapanaartham prayatissyate, api ca, sviiya-kssetraadhikaaraantargatam kssetravaastavyessu janessu svessu ca sadasyadeshessu tadiiyessu janessu ca sviiya-vaishvik-prabhaavi-paripaalanaabhyupagamanaani samrakssitum aantaaraassttrikaannaam raassttrikaannaanyca pragatishiilopaayaanaam ca maadhyamen prayatissyate.
01-00	anucchedah 1
01-01	sarve maanavaah svatantraah samutpannaah vartante api ca, gauravadrshaa adhikaaradrshaa ca samaanaah ev vartante. ete sarve cetanaa-tarka-shaktibhyaam susampannaah santi. api ca, sarve'pi bandhutva-bhaavanayaa parasparam vyavaharantu.
02-00	anucchedah 2
02-01	asyaam abhighossannaayaam nirdissttaah sarve'pi adhikaaraah sarvaannyapi ca svaatantryaanni, vinaiv jaati-varnna-limga-bhaassaa-dharma-raajaniitik-taditar-mantavyaadi-bhedam, raassttriyam saamaajikaadhaaram sampajjanma-taditar staranyca avigannayya, adhigantum sarvo'pi janah prabhavati.
02-02	etadatiriktam, kasyaashcidapi prabhusattaayaah niyamanaantargatam, svaadhiinasya aatmaprashaasanetar-tantrasya, nyaasitantrasya vaa vaastavyasya pradeshasya deshasya vaa raajaniitik-siimaa-nibandhanaantaaraassttrik-staraadhaarenn na ko'pi bhedo vidhaasyate.
03-00	anucchedah 3
03-01	sarvo'pi janah jiivan-svaatantrya-surakssaadhikaaram samdhatte.
04-00	anucchedah 4
04-01	na kamapi janam daasatven paraadhiinatven vaa dhaarayitum anujnyaasyate. api ca daasavyaapaarah puurnnaruupenn pratissiddhah sthaasyati.
05-00	anucchedah 5
05-01	na kamapi janam virudhya avamaananaatmakam vyavahaaram dannddam vaa kruuram amaanaviiyam pratodanam vaa pravartayitum anujnyaasyate.
06-00	anucchedah 6
06-01	vidheh samakssam sarvo'pi janah sarvatra abhijnyaatum adhikaaram samdhatte.
07-00	anucchedah 7
07-01	vidheh samakssam sarve'pi tulyaah samaanaashca vartante. api ca vinaiv kamapi bhedam vidheh tulyam samrakssannamavaaptum arhanti. asyaah abhighossannaayaah ullamghane kamapi bhedam, etaadrgbhedam vaa abhilakssya kaamapi cessttaam virudhya samaan-samrakssannaarhaah sarve'pi vartante.
08-00	anucchedah 8
08-01	vidhinaa samvidhaanen vaa pradattaanaam maulikaadhikaaraannaamullamghan-kaaryaannaam krte, yogyaih raassttriya-nyaayapiitthaih samstutaanaam prabhaavinaam samupaayaanaam prayogaarho hi sarvo jano'sti.
09-00	anucchedah 9
