00-00	Entsa Tunu Naa Nuka Chulla Bain, Muba Mubain Tsatsangenuu Deechu Detave Ti' Tsandi Depanu Kuinda
00-01	Urama kerakenu chachi dejutu naaju naa-i kera' taatu inuu junu bain tsaatalaa dekera, tsenm'in ti deechu juutala bain naaju chachilla bain tsaren deechu deta, ne mainnaa deechu chipake ne nuya tsaa deechu tajtaa ti' mujchi, entsa tu kuraa nuka bain, muba bulla jiJtyu ti kendennuba kenu, naa kavitu juu bain mika ura' deechu kavitu, tsenminnaa tiba bulla jutyu mika sunden chunu judeeshu juntsa entsatalaa llatinanuu juve tya' mitya.
00-02	Entsa tunu naa nuka chUlla bain, muba mu bain tsatsangenuu deechu detanu paatetala kerajtu mijtu, tsenmin balenguretyu jatsa' ne keraanchiren, tituba deke' firuke' cha' tansha pensachiya ura kinjutyuu mayujpeyaa kemu deeve tya' mitya. Tsenmin chachillachee ti ju'ba juntsaa kayu mutyanu tsuve tya' juununge ke' umaa entsa ajkeshaa entsa tunu naaju chachilla bainmatenbiyaa pensa depire', naa yala' jeetyanu pensa bain depireke' matyu naa tyenaaju patindya'ba tsaa depa' sunden dechun'u, tsenmin ne tinu keengikenu tya' bain tsaanu dekeenge' sunden dechunu, tinbu jantsuve tya' mitya.
00-03	Entsa tunu naa nuka chulla bain, muba mubain tsatsangenuu deechu jumunu tyeeba junu narake uukaren tsangenu tya', rnatyu tsangenchingenuu juve tya' juntsa uukaanu ma Deechu juunuu dekive, tsenmalaa matyu tituba deke' firudeke' menaa teraanuu detananu kenu bain, matyu chachilla ne tyui-erainu-i' naakin tsandya' ti' mityaba juntsaren juune juntsa kai'tala kayu vera ne juu jutyu, juntsa minuren juu de'ajaatsetuware' tsaa pebulu kujpa'i'. balelanu vingendejutyuve tya' mitya.
00-04	Tsenmin tsangenchingenuu juve tya' naaju tuutala bain naatala juununge taatu kenuu kikaanu tyeeba junu awakaren tsangikaanu juve tya' mitya.
00-05	Naciones Unidas-nu shilli denashu juntsa pebulula kumuinchiren tsandi depa' jungajte tsange deshuikenu Kiikanu, ura uwain tsaanu juve ti'dekeenge' matyu chachi jutu ti deechu tadeenu bain juntsatala uwain tsaave ti' tsenmin chachi junu naa-i kera' taatu inuu junu bain tsaatala bain tsaanu juve ti' dekeenge' tsenmin chachi jutu naaju baledeenu bain tsadeeve ti'tsange dekeenge' shuike' naa ti deechu juuchi bain unbeerukula bain su pula bain tsaren deechu detave tya' mitya. Tsenmin kumuinchiren naake' bain tsangenchiren kenu ti' ma tsangenui deshuwa' matyu naaju cha' bululanu bain ne tyeeba dejunu shu'kikaren tsange' awakare' naa ura' chunchi bain kayu ura' chunuu tiba bulla jutyu ura' chunuu detirenu ti' tsai deshuwa' mitya.
00-06	Naaju chachilla bain tsangenuu deechu tadeeshu juntsatala tsenmin naaju chachilla bain muba tsanguityude tindetyu ti kendya'ba tsangenuu judeeshu juntsatala, ura tsangenchin kidaa ti' ma tsai depa-ake' tsai deshuwamu Estados Miembros-la, juntsa Naciones Unidas Organizacion-ba buluren tsangenuu deshuwa' mitya, tsenmin
00-07	Kumuinchi enu tsandi depa' tsange deshuikenu ura uwain juntsangenuu jushu juntsaa naa mubain enu panu deechu judeeshu juntsanu, tsenmin naa mun ti kenu tya' bain tiba bulla jutyuren tsangenuu judeeshu juntsatala, matyu muba mubain naajunu bain ne veevee aseetangi'mujchi tsaren aseetangenuu dejuve, ti' mitya.
00-08	muba mubain mijanu detsu
00-09	Asamblea General
00-10	entsandive
00-11	Entsa Tunu Naa Nuka Chulla Bain, Muba Mubain Tsatsangenuu Deechu Detave Ti' Tsandi Depanu Kuinda
00-12	Kumuinchi chachilla, naa naaju tu paatesha bain nuka' baasa matyu pudengura deengenu dejuve juntsa pensa' mityaren, tsenmalaa mun juju' bain, naa naaju bale ya juula bain juntsanun dajkake pensange' tsangenuke deke' demijakare' uwain tsaaminu detyakare', matyu entsa deechu judeeshu juntsatala, tsenmin muba bulla jutyu ti kendennuba tsangenuu judeeshu juntsala bain narake uukaakinunge' juntsadeke' tyeeba junu narake deengaren tsangenu dejuve naa naaketaa tsangenuu junu bain juntsa naa uwanu bain awakaakentsunungetu ne entsa lala' tu juusharen jujutyu, vee mujtu naa nuka" baasa vee paatesha bain, tsange' entsa deechunu naatinu bain tu kuraa juntsa ura uwain tsadekikaanu ne Estados Miembros judeeshu juntsa chachilla' chundalanjujutyu, naa yala' tu juusha yaichi uuden-in chumu tu judeeshu juntsatala bain.
01-00	Articulo 1
01-01	Naaju chachilla bain mu' chachilla bain na kayatu tichiba bulla jutyu naakendya'ba kenu deechu taa na kayamu deju, tsenminya,naaju junu bain ne tsaave ti', uukavinu jutyu naa, tideechu juuchi bain, mubain mubain tsaren dejuve, tsenmin shilli pensangenu pude deju'. mitya, tsenr)1in ura' kendu bain ura' kendyu' bain mide' mitya muba mu bain veta' veta' ura' keewaawaa kenuu dejuve.
02-00	Articulo 2
02-01	Ti deechu juu bain, naa ti kikenu tyai' bain tsatsangenuu pude deeve ti' tsandi depa' entsa tsange deshuikenu Tsandi Depanu Kuindanu pudeeshu juntsanu mu' chachilla bain tsatsanguenuu deechu detanave; naa tinuba keetadi' ne tsaave ti' mujchi, ne vee chachee ti' mujehi, ne vee muehina puuve ti' mujehi, ne IIupuve supuve ti' mujehi, ne tsaa palaaya pamuve ti' mujehi, ne tsaa dios-naa keengimuve ti' mujehi, ne titalaba keetadi' ne tsaave ti' na' baasa pamuve ti' mujehl. Tsandityu' bain, kayu tinuunuba ne nunbaku baake'eetadi' ne tsaave ti' mujehi, ne tsaa chaehilla deeve ti' mujehi, ne lushi tanutala keetadi' mujchi, ne naa-i na kayamunuba tsaatala keetadi' mujehi, ne ti juu ne vera juutala keetadi'mujehi, naaju ehaehilla bain tsaren deeehu detanave.
02-02	Tsenmiren, naa tinuba keetadi' ne tsaave ti' mujchi, ne titalaba kata' ne tsaave ti' papatimu tunaa eh uve ti' mujehi, naa ne kavitu iinuutalama punamu tunaa chuve ti' mujchi, ne na' baasa baasha vee paate tutala demi'tekare' dekera' ne tsaave ti' mujehi. Tsajutyu'ba ne veelaehi uuden ityu tushaa ehumuve ti' mujehi, tsajutyu' ba ne veelaehi uuden-i' bulu ne washaimu, maali pudejtu, ne veelachi menaa teraanuu tunaa ehuve ti' mujehi, tsajutyu' bain ne ya' tunuren uudengenu pudejtu' ne jatsaave tinu tunaa chuve ti' mujehi.
03-00	Articulo 3
03-01	Naaju ehaehi bain ehaehi tiya' ehunu deeehu tave, naa muehiba bulla jutyu ti kendya'ba kenuu deeehu bain tave, tsen,min ya ehaehi jutu ya' bulunu tituba ikutinjutyu deeehu bain tave.
04-00	Articulo 4
04-01	Naa mubain veelaehee uuden-i' tikesa tyanuba tsatsangemu, maali tigendya'ba tsangenu deeehu tajtu ehaehi junu dejutyuve, naa ne veelaehee ti bain ke' kuwa kuwa kemu ehaehi jundejutyuve; Ne veelaehee uuden-i' tikesa tyanuba tsatsangemu, maali tigendya'ba tsangenu deeehu tajtu paatetala ti' mityaba naake' ba tsangenu jutyuve ti' ma pillaave.
05-00	Articulo 5
05-01	Naa mubain kaya' bandapurai' tituba ikutinuu dejutyuve, naa ne kuipavikuti' tsaityu'ba na' baasa de' ikuti' ne chacheeba jutyu debadan tsai' ~atenbiyai' mayujp-eyainu dejutyuve.
06-00	Articulo 6
06-01	Naa mubain chachi jumulaya naa nuka bainnutsa patesha bain deechu detave ya nukaa chumu' bain juntsa ya' deechu.
07-00	Articulo 7
07-01	Ley ajuushaya naa mu bain mabarejun dejuve, tsenmin naa tinuba keetadi' ne tsaave ti' mujchiren naaju ley-chi bain manbarejuren bale-ikutyanuu deechu detave.
07-02	Naa mu bain tsaren bale-ikutyanuu deechu detave entsa Tsandi Depanu Kuindanu punashu juntsa deechu pillalanu ne jatsa' kure' tujle' firu dekinmala. Naa ne tsange' jatsa' kure' tsangenjutyu' bain ma tsangenuke firu' dekeewaanu bain, naa juntsatala bain tsar~n bale-ikutyanuu deechu detave.
08-00	Articulo 8
08-01	Nutsa bale chachilla' ajuusha bain, nutsa bale yatala bain, ya' chunu tu sukunu aa bale chumula' jungaya tyeengitaa naakitaa lave'kakutinu ju' bain tsaa mi'kenu deechu tadeeve naaju chachilla bain. TsaJ:lge' yachi tsamantsa bale deechu, Constitucion kiikanupillaashu juntsa deechu juunu bain, naa ley-nu pumu deechu juulanu bain firu' kenu dekenmalaya, bale-ikutinuu deechu tadeeve.
09-00	Articulo 9
09-01	Tsangenu' jutyuunun tituba ke' mijaindyu peresu kaki, ne peresu viinu, tsaityu'ba ya' tusha kalare' era' vee mujtu nepiwarainuu dejutyuve, mubain.
10-00	Articulo 10
10-01	Naaju chachilla bain, ne faata' uyudiba i' mujchi parejuren juunu ju' tsaren deechu detave, munuba bale jutyu kejtaa uyunanu namu balela' ajuusha, cha' kejtsapaatala maali balela' depa' meedikuti' ura' deechu kavitu ikutinu, ne yanu daran feete' kuipa pu' kavitu kenu paate juutala, naa ne ya' deechu juutala, tsangityu'ba ne ya titalaa tsatsangenu jutyunu bain; tsaatala detyashnu kuindatala.
