00-00	[?]
00-01	dhenfahe, minivankamaaai, aiadhuluverikamaaai, sulhhaverikan dhuniyaaeygaai qaaaimuve aothumuge aasaasakee, kameyhithevigenvaa dharajaaakaaai, hamahama aadhi nigulhaainuganeveyne hhaaquthakea, ai nsaanee dharifaskolhuge aenmehaai farudhunnash libigenvaakan dhenegane qaboolukurun kamugaaivee hindhu;
00-02	dhenfahe, ainsaanee hhaaquthakash aeaves samaalukamea dhinumea nethi, ainsaanee hhaaquthakuge hhurumath kendumuge natheejaaaeage go thun, ainsaanee dharifaskolhuge heyaaobuadhiaash qaboolukurevenves nethfadha aiamaluthakaa kurimathilaan jehifaaivaakamaaai, aadhi aiaanmu farudhunge aenme ais aunmeedhu kamugaai haamave faalhuvegendhanee khiyaaaalufaalhukurumuge minivankamaaai, aasaasee beynunthakunnaaai biruverikamun minjuvegenvaa bayaaaku dhiriaulhey dhuniyaaeaeage aufedhun kamugaaiveehindhu;
00-03	dhenfahe, aaniyaaaaverikamaaai fiathuntherikamaa dhekolhash masaakath kurumugaai, aehengothea nethigen baghaavaathash hurahelhumash, ainsaanaaaash majubooru kuruvan beynun nuvaanama, ainsaanee hhaaquthakakee qaanoonuge zareeaiaaain raakaatheri kurevigenvaa hhaaquthakakash hedhumakee, nuhanu beynun theri kamakashveehindhu;
00-04	dhenfahe, dheydhey qaaumuthakuge medhugaai aufedhifaaivaa aekuverikamuge gulhunthaa aaalaa kurumash masaakath kurumakee, nuhanu beynuntheri kamakashveehindhu;
00-05	ainsaanunge aasaasee hhaaquthakaaai, ainsaanee farudhunge dharajaaaaai aaguhuri maqaamaaai firihenunnaaai aanhenunge hama hama hhaaquthaa qaboolukuraa qaboolukurun, aekuveri dhaaulaththakash nisbathvaa qaaumuthakuge raayaaithun a.dh.ge aasaasee qaraarugaai aithuru baarulaai faalhukosh, aadhi aithuru minivankan libi genvaa maahhaauleagaai dhiriaulhumuge fenvaru mathikurumashaaai, aijthimaaaiee tharaaqee kuriaeruvumash aiazum kandaaelhihindhu;
00-06	dhenfahe, ainsaanee hhaaquthakaaai aasaasee minivan kamuge minganduthakas aiaanmukosh aihhthiraam kurumaaai, aehhaaquthakash thabaavumuge tabeeaiath, aekuveri dhaaulaththakaa gulhigen aaalaakurumash, menbaru qaaumuthakun aiqraaruve aiazum kandaaelhihindhu;
00-07	dhenfahe, aehhaaquthakaaai minivankamuge minganduthaa, aiaanmukosh aengi dhasvefaai aothumakee, aevee aiqraaraaai aekandaaelhi aiazumge natheejaa furihamaaash hhaasilukurumashtakaai varashves bodu aahanmiayaaathea dhevigenvaa kamakash veehindhu;
00-08	ainsaanee hhaaquthakuge aiaanmu qaraarakee hurihaa qaaumuthakeage hurihaa meehunnash hhaasilukosdheynvee aiaanmu mingandea kamugaai kandaaalhaai, mujuthamaaiuge konme farudhakuves aadhi mujuthamaaiuge konme baarakunves, miaiaanmu qaraaru visnumugaai aabadhume baaavaaigen, aangaaidheegennaaai aungannaaidheegen, mihhaaquthakaaai minivankamuge minganduthakash hurumaththerikosh hithun kuriaeruvumashaaai,qaaumuthakuge fenvarugayaaaaai baainalaaqvaamee fenvarugaai, harudhanaa aadhi kuriaerun libenivi fiyaaavalhuthakea aalhaaigen, aehhaaquthakaaai minivankamuge minganduthaa aiaanmukosh menbaru qaaumuge raayaaithunge medhugayaaaaai, aadhi aemeehunge baaruge dhashugaaivaa thanthanuge raayaaithunge medhugaaives kuriaeruvumashtakaai, aebalaaigane qaboolukosh, aeaash aiamalukuraanegoth hedhumuge niyaaathugaai, aiaanmu majileehun mi, ainsaanee hhaaquthakuge aiaanmu qaraaru aekashaaalhaai, aiailaanu kureaeve.
01-00	1 vana maaadhaa
01-01	hurihaa ainsaanunves dhuniyaaeaash aufanvanee, minivankamugaai, hamahama hhaaquthakakaaaeku, hamahama dharajaaeagaai kameyhithevigenvaa baaeage gothugaaeve. heyaao visnumaaai, heyaaobuadheege baaru aemeehunnash libigenveaeve. aadhi aekaku aanekakaamedhu aemeehun muaiaamalaath kuranvaanee, aukhuavaththerikamuge roohheagaaeve.
02-00	2 vana maaadhaa
02-01	hama konme meehakashme, miqaraarugaai bayaaaankoshfaaivaa hurihaa hhaaquthakakaaai minivankamuge minganduthakea hoadhumaaai, libigathumuge hhaaqu libigenveaeve. aehhaaquthakaaai aeminganduthaa libidhenee, naslaaai, kulaaaaai, jinsaaai, bahaaai, dheenaaai, siyaaaaseegothun nuvatha aehenves kamakaa gulheygothun visnun gengulhey gothaaai, vaki qaaumakash nuvatha mujuthamaaiakash nisbathvumaaai, mudhaa libihurumaaai, aufanvee aiaaailaaaeage sababun qadharuverivumaaai, aehenves sababakaa hure qadharuverivunfadha, aeaves baavatheage mingandakun thafaathu kurumea nethiaeve. aadhi meehaku nisbathvaa qaaumakee, nuvatha sarahhaadhakee siyaaaasee gothun, nuvatha aeqaaumuge baaru hingaa sarahhaadhuge minvaruge gothun, nuvatha aeqaaumuge baainalaaqvaamee haaisiayaaathuge gothun namaves, aeaves thafaathukurumea gengulhegen nuvaaney gothunneve. aeqaaumakee, nuvatha meehaku nisbathvaa aesarahhaadhakee, minivan qaaumakash viyaaas, nuvatha aekuveri dhaaulaththakuge belumuge dhashun aehen qaaumakunbalahaatamundhaa qaaumea kamugaaiviyaaas, nuvatha aamiala verikamea neth qaaumea kamugaai viyaaas, nuvatha aehenves gothakun siyaaaadhathee baaru mahhdhoodhu kurevigenvaa qaaumakash veenamaveheve.
03-00	3 vana maadhaa
03-01	hama konme meehakashme dhirihurumuge hhaaqaaai, minivankamuge hhaaqaaai, thimaagehashigandaaai nafsuge raakaatherikamuge hhaaqu libigenveaeve.
04-00	4 vana maaadhaa
04-01	aeaves meehaku, aalhuvethikamugaai, nuvatha majuboorun khidhumath kuruvumugaai, gengulhevigen nuvaaneaeve. aalhuvethikamaaai, aalhunge viyaaafaariaakee, aeyge hurihaa baavatheaves himeneygothun, manaakurevigenvaa kankameve.
05-00	5 vana maaadhaa
05-01	aeaves meehaku, aaniyaaaaverikamashaaai, aaniyaaaaveri, nuvatha laaainsaanee, nuvatha ainsaanee qadharash kudaaimeeskan libenivi gothgothash kurevey muaiaamalaaththakashaaai aadhabuthakash hurahelhigen nuvaaneaeve.
06-00	6 vana maaadhaa
06-01	hama konme meehakashme, qaanoonuge kurimatheegaai, aeaee farudhea kamugaai balaaigane qaboolukurumuge hhaaqu, konme thaneagaai aeynaa huri kamugaaivee namaves, libigenveaeve.
07-00	7 vana maaadhaa
07-01	hurihaa aenmennakeeves qaanoonuge kurimatheegaai hamahamavegenvaa baaekeve. aeaves thafaathu kurumeanethi, qaanoonuge hamahama raakaatherikan libigathumuge hhaaqu, aemeehunnash libigenveaeve. miqaraaraa khilaafash aeaves thafaathea kureveynama, nuvatha aefadha thafaathea kurumash hithvaru dheynama, aekamakun raakatherikan libigathumuge hhaaqu aenmenashme libigenveaeve.
08-00	8 vana maaadhaa
08-01	qaanoonu aasaaseen nuvatha qaanoonun meehakash libidheefaaivaa ainsaanee hhaaquthakaa khilaafash kurevey kankamash, qaaumuge kamaagulhey baaru libigenvaa sharuaiee majilisthaa medhuverikosh aekankamash aedhevey faruvaa hoadhumuge hhaaqu, hama konme meehakashme libigenveaeve.
09-00	9 vana maaadhaa
09-01	aeaves meehaku, kandaaelhi bayaaaanvegenvaa qaanoonee hamathakeagemathin menuvee, haayaaarukoshfaai, nuvatha bandhukoshfaai bahaataaigen nuvaaneaeve. aadhi aemeehaage dhiriaulhun hamajehifaaivaa fasgandun beyrukoshgenves nuvaaneaeve.
10-00	01 vana maaadhaa
10-01	meeheage hhaaquthakaaai ailthizaamuthaa kandaaelhi bayaaaanvegenvaa qaanoonee hamathakeage mathin menuvee, jinaaaee kusheage dhaaiuvaa belevey hindhugaai, minivan aadhi vakifaraathakash nujehey shareeaiathuge majileeheagaai, aiaanmunnash hulhuvaalevifaaivaa ainsaafuveri maahhaauleagaai, furihama hamahamakan libidhey gothugaai, aekamea kandaaelhigen dhiyaaumuge nuvatha belevigen dhiyaaumuge hhaaqu hamakonme meehakash libigenveaeve.
11-00	11 vana maaadhaa
11-01	jinaaaee kusheage dhaaiuvaa meeheage maachash kurevey hindhugaai, aeynaage dhifaaaiugaai vaahaka dheakumuge hurihaa minivankamea aeynaaaash libidheefaaivaa, aadhi aiaanmunnash hulhuvaalevifaaivaa maahhaauleagaai hingaa shareeaiatheagaai, qaanoonugaaivaa gothuge mathin kushveriveaje kamash kandanaalhaahaahindhaku, aeynaaaakee kusheaneth meehaku kamugaai meehun qaboolukurumuge hhaaqu, aefadha konme meehakashme libigenveaeve.
11-02	meehaku vaki aiamalea kuriairu nuvatha vaki aiamalea nukosh dhookoshliairu, aeqaaumuge qaanoonuge dhashun nuvatha baainalaaqvaamee qaanoonuge dhashun, aekamakee jinaaaee kushea kamash kandaaalhaafaai nuvaa kamea, aeaee jinaaaee kushea kamugaai balaai, aekushun aeynaa kushveri kurevigen nuvaaneaeve. aadhi jinaaaee kushea meehaku kuriairu aekushakash kandaaelhifaaivaa aadhabashvure bodu aadhabea, aeynaage maachash kandaaelhigen nuvaaneaeve.
12-00	12 vana maaadhaa
12-01	meeheage aamiala minivan kamaaai, aeynaage aiaaailaaaaaai, aeynaage gedhoraaai, aeynaa liyaaaa nuvatha aeynaaaash libey siteege hhurumathash aunikan libeyfadha aiamalea, nuvatha aeynaage qadharash nuvatha aaburash aunikamea foaraa zaathuge kamea, kandaaelhi bayaaaanvegenvaa qaanoonee hamathakeage mathin menuvee, aeaves meehakaamedhu kurevigen nuvaaneaeve. aefadha kankamun qaanoonuge raakaatherikan hoadhumuge hhaaqu hamakonme meehakashme libigen veaeve.
13-00	13 vana maaadhaa
13-01	hamakonme meehakashme, aemeeheage qaaumuge aimuge thereygaai, beynunthanakash dhathuru fathuru kurumuge hhaaqaaai, beynun thaneagaai dhiriaulhumuge hhaaqu libigenveaeve.
13-02	hamakonme meehakashme, aeynaage aamiala qaaumu nuvatha aehen qaaumea dhookosh dhiaumuge hhaaqaaai, aeynaage aamiala qaaumash aenburi aaaumuge hhaaqu libigenveaeve.
14-00	14 vana maaadhaa
