00-00	vrashtharn hq asasy mansy sjakt
00-01	bhawasan vny'trafn kawtwhn kmwlyan dan hq samrat srta asasy yn tq trvysh baky slwrwh awmt mansy 'dalh asas kbybsn, k'adyln dan kdamayn dnya.
00-02	bhawasan vnabayn srta vnhynan trhadv hq asasy mansy tlh vwn mn'aqbtkn tyndqn trkwtwq yn tlh mlnkry vrasan haty awmt mansy, dan mwntchwln sbwah dnya d man mansy akn mn'mty kbybsn brawtchv dan mnanwt kvrtchayan srta kbybsn dry rastakwt dan tchytaras tlh vwn dashtharkn sbakay asvyrasy trakwn slwrwh awmt mansy.
00-03	skyran kyt tydq mahw mndwrwn mansy dalm kadan trdsq, sbakay vylyhn trakhyr, mmbrwntq mmntn kzalymn srta vnyndsn, mk 'dalh vntyn baky hq asasy mansy dvrtahnkn awlyh kdwltn awndn2.
00-04	bhawasan 'dalh vntyn baky mmajwkn vrkmbnn vrhwbwnn vrshabtn d antara nkara2.
00-05	bhawasan r'yt bnsa2 brsatw, dalm vyakmn tlh skaly laky mnkskn kvrtchayan mryk trhadv hq asasy mansy, trhadv kmwlyan srta nylaydyry mansy dan trhadv hq samrat llaky dan vrmvwan dan tlh mntvkn k'zmn awntwq mmajwkn vrkmbnn swsyal dan trf hydwv yn lbyh smvrna dalm swasan kbybsn yn lbyh lwas.
00-06	bhawasan nkara2 ankwta tlh braqrar awntwq masyn2 mntchavay, dnn krjasam bnsa2 brsatw, vnwtaran khrmtn sjakt trhadv, srta vmatwhn, hq asasy mansy dan kbybsn asasy.
00-07	bhawasan satw fhmn brsam trhadv hq srta kbybsn ayn slwrwhn 'dalh trvntyn dmy mnjadykn aqrar ayn knatan svnwhn.
00-08	mk dnn ayn
00-09	vrhymvwnn akwn mnyshtharkn
00-10	vrashtharn sjakt hq asasy mansy ayn sbakay swatw awkwrn brsam trhadv vntchavayn awlyh slwrwh awmt mansy dan ksmwa nkara dnn twjwan swvay styav ayndywydw dan styav badn msharkt, dnn snntyas mnynty vrashtharn ayn, hndqlh br'zm mlalwy vnajrn dan vndydyqn baky mmajwkn sanjwnn trhadv slwrwh hq2 dan kbybsn ayn dan stchara lnkh2 brvrynkt vrynkt, d bydn nkara dan antarabnsa, baky mnjamynkn vny'trafn dan vmatwhn sjaktn yn brksn, kdwa dwan d antara nkara2 ankwta masyn2 dan r'yt wlayh2 d bawh bydnkwas mryk.
