00-00	a'lamih jhani hqwq bshr
00-01	az anja kh shnasayei hithit thati klih' a'dai khanwadh bshri w hqwq iksan w antqal napthir anan asas azadi w 'dalt w slh ra dr jhan tshkil midhd,
00-02	az anja kh 'dm shnasayei w thqir hqwq bshr mnthi bh a'mal whshianhi grdidh ast kh rwh bshrit ra b'sian wadashth w zhwr dniayei kh dr an afrad bshr dr bian w 'qidh azad w az trs w fqr fargh bashnd b'nwan balatrin amal bshr a'lam shdh ast,
00-03	az anja kh asasan hqwq ansani ra baid ba ajrai qanwn hmait krd ta bshr b'nwan akhrin 'laj bqiam br dd zlm w fshar mjbwr ngrdd,
00-04	az anja kh asasan lazm ast tws'h rwabt dwstanh bin mll ra mwrd tshwiq qrar dad,
00-05	az anja kh mrdm mll mthd iman khwd ra bhqwq asasi bshr w mqam w arzsh frd ansani w tsawi hqwq mrd w zn mjddan dr mnshwr a'lam krdhand w tsmim raskh grfthand kh bh pishrft ajtma'i kmk knnd w dr mhiti azadtr wd' zndgi bhtri bwjwd awrnd,
00-06	az anja kh dwl 'dw mt'hd shdhand kh ahtram jhani w r'ait waq'i hqwq bshr w azadihai asasi ra ba hmkari sazman mll mthd ta'min knnd,
00-07	az anja kh hsn tfahm mshtrki nsbt bain hqwq w azadiha brai ajrai kaml in t'hd kmal ahmit ra dard,
00-08	mjm' 'mwmi in a'lamih jhani hqwq bshr ra arman mshtrki brai tmam mrdm w klih' mll a'lam miknd ta jmi' afrad w hmh' arkan ajtma' in a'lamih ra dayema dr md nzr dashth bashnd w mjahdt knnd kh bwsilh' t'lim w trbit ahtram in hqwq w azadiha tws'h iabd w ba tdabir tdriji mli w binalmlli, shnasayei w ajrai waq'i w hiati anha, tchh dr mian khwd mll 'dw w tchh dr bin mrdm kshwrhayei kh dr qlmrw anha mibashnd, ta'min grdd.
01-00	madh' awl
01-01	tmam afrad bshr azad bdnia miaind w az lhaz hithit w hqwq ba hm brabrnd. hmh darai 'ql w wjdan mibashnd w baid nsbt bikdigr ba rwh bradri rftar knnd.
02-00	madh' dwm
02-01	hr ks mitwand bdwn hitchgwnh tmaiz mkhswsa az hith njad, rng, jns, zban, mthhb, 'qidh' siasi ia hr 'qidh digr w hmtchnin mlit, wd' ajtma'i, thrwt, wladt ia hr mwq'it digr, az tmam hqwq w klih' azadihayeikh dr a'lamih thkr hadr shdh ast, bhrhmnd grdd.
02-02	b'lawh hitch tb'idi b'ml nkhwahd amd kh mbtni br wd' siasi, adari w qdayei ia binalmlli kshwr ia srzmini bashd kh shkhs ban t'lq dard, khwah in kshwr mstql, tht qiwmit ia ghir khwdmkhtar bwdh ia hakmit an bshkli mhdwd shdh bashd.
03-00	madh' swm
03-01	hr ks hq zndgi, azadi w amnit shkhsi dard.
04-00	madh' tchharm
04-01	ahdi ra nmitwan dr brdgi ngahdasht w dad w std brdgan bhr shkli kh bashd mmnw' ast.
05-00	madh' pnjm
05-01	ahdi ra nmitwan tht shknjh ia mjazat ia rftari qrar dad kh zalmanh w ia br khlaf ansanit w shyewn bshri ia mwhn bashd.
06-00	madh' shshm
06-01	hr ks hq dard kh shkhsit hqwqi aw dr hmhja b'nwan ik ansan dr mqabl qanwn shnakhth shwd.
07-00	madh' hftm
