00-00	TUCHODA TITAJU NIJYANVAJYU VURYATIDYE VICHASARA SAMIRYA VARIY
00-01	VUTYUVACHU RAMU JIRYA: rirvatidye vichasara nijyanvay jmurvasavay, samivye jarye, jiryatiy runuchara nutityumiy samiy riñecho, vurvama datya itjau jiryatiy vurvupedamusiy vuvyta rirvatidye jnuy tjau nijynvay samiy vuñecho;
00-02	VUTYUVACHU RAMU JIRYANTIY: riryavatyda tavaryi nijyanvay jasicharjau riryantadeda variryi. Ridyetyisadamu yavatyadariy nijyanvay, rirvavirvutyada varirya nijyanvay vichada. Ramunjtiy vutyuchura jiryatiy nijyanvay vatasara jaryirya: nvyichary samiryamu, ne ñrvasuvuy tara, darvantyamuy jantyuyadavay. Riñiquery ntyuvachuruy variy jivyatadamusiy;
00-03	VUTYUVACHU RAMUNTIY: jiryatiy nijyanvay jantyuyadavay vata jnutityumura jmutyada riryimya javatya tavay nijyanvantyirvi, riñuma murchenrrva yavatyasada mudodta. Ramunitiy rivyatara nutitymiy jmutyada, ribey liita jiñiquejada variy;
00-04	VUTYUVACHU RAMUNTIY: jiryatiy raniy sitenu vatasara datyadoda jarvedo nijyanvay nutyaramusitya vuryivichasara samirya vutyunu vichavatya;
00-05	VUTYUVACHU RAMUNTIY: jiryatiy ntyuchuma raju mucadi jnutyavay caterava nutyi ntyuvachu ramu samirya vichasada vatujyu, vadujyuntiy. Rivyanutyanirvuryi nijyanvay rirvatidye vicha samirva mutijyu, rjadutya varirya rivyichada, rirya datyara jivyichada, ne n'rvecha ti cumudemiñuday;
00-06	VUTYUVACHU RAMUNTIY: jiatiy vurvjaantya nryatidye tuvachu tjau nijyanvay ramu jirva niquejada samirva vichadaju;
00-07	VUTYUVACHU RAMUNTIY: jirvatiy rtiy jto darva, tiUau nijyanvay rarvidatyarurva jirva tuchoda;
00-08	RAMUNí VURYATUVACHU DIYERA MUCADí JNUTYAVAY TUCHODA JIRYA TUCHODA RACHA TITAJU NIJYANVAJYU rirvatidye tuvachu variy ramu. Raniy raryivicha datyanusara titJau catera nuJyomu.
01-00	TUCHUSARA 1.
01-01	Ne sarupay nijyami cumudeju darvantyamuy javatyasjiu. Jachipiyadati mirvara samirva, mirvamuy ne samirva. Ramunltiy sarivichanichara samirvariy jityunu vichavay.
02-00	TUCHUSARA 2.
02-01	Darva rirvivichasara tjtJau nijyanvay dañuma rirvecha mamyi varimyata munuñumiy, dañuma rirvecha vadacumiy varimyata pupasimyi, dañuma nrvecha vaduy varimyata vatuy, dañuma rianiquera jiñiquejada, dañuma nrvatuvachu Judenumu varimyatamuy, dañuma nrvJaachipiya midamyuju varimyata jntityudamyuju dañuma nrvecha j arvedo, darvanuma rirvavichasara jischavu ttjau nijyanvay.
02-02	Darva riryivichasara ttjau nijyanvay dañuma rirvecha taj i mucadimusivye.
03-00	TUCHUSARA 3.
03-01	Rirvama pary ttjau ruva nijyanvay rnuJeyjaadaju, rirvatidye vichasara jmuasavantyi, ne ti rJaarupantasara variñudarvi.
04-00	TUCHUSARA 4.
04-01	Ne ti raryivicha muchechimyijyu jpanuyasavajyu. Jubachara darva, darva vichadeda tnijyu.
05-00	TUCHUSARA 5.
05-01	Ne ti rarvivichasara javatyadajus niniy jita rivyichadeda nutyi javada rirvavatyada variñi.
06-00	TUCHUSARA 6.
06-01	Titaju nijyanvay rarvivichasara tuchutada tnijyu cannadumu.
